term,pinyin,annotation,type
滥,,下网捕鱼,source_note
里革,,鲁大夫。罟(ɡǔ)：渔网。,source_note
土蛰,,在地下冬眠的动物。,source_note
水虞,,掌管水产及有关政令的官。罛(ɡū)：大鱼网。罶(liǔ)：捕鱼的竹篓子。,source_note
登,,通“得”，求取。,source_note
寝庙,,宗庙，也特指宗庙中藏祖先衣冠的后殿。,source_note
兽虞,,掌管鸟兽及有关政令的官。罝(jū)：捉兔子的网。罗：捕鸟的网。,source_note
矠,,用叉矛刺取。,source_note
罝,,小鱼网。,source_note
鄂,,捕兽器。,source_note
槎,,用刀斧砍斫。蘖(niè)：树木经砍伐后再生的新枝。,source_note
鲲,,鱼苗。鲕(ér)：鱼子。,source_note
麑,,小鹿。?(yǎo)：小骆驼。,source_note
鷇,,初生的小鸟。,source_note
蚳,,蚁的幼虫。蝝(yuán)：蝗的幼虫。,source_note
艺,,限度。,source_note
泗,,泗水，在今山东境内,source_note
罟,,网,source_note
槁,,草木枯干,source_note
阱,,陷阱，为捕捉野兽的坑,source_note
蘖,,被砍去或倒下的树木再生的枝芽,source_note
鲕,,鱼苗，小,source_note
蝝,,未生翅的幼蝗,source_note
谂,,规谏,source_note
